Ставка на аукціоні,Збір аукціону,Додатковий збір,Назв аукціону
49,201,,Copart auction
49,201,,IAAI auction
99,201,4,IAAI auction
99,201,,Copart auction
199,225,,Copart auction
199,225,15,IAAI auction
299,260,5,IAAI auction
299,260,,Copart auction
349,280,,Copart auction
349,280,,IAAI auction
399,290,15,IAAI auction
399,290,,Copart auction
449,320,,Copart auction
449,320,,IAAI auction
499,330,10,IAAI auction
499,330,,Copart auction
549,340,,Copart auction
549,340,10,IAAI auction
599,350,15,IAAI auction
599,350,,Copart auction
699,365,,Copart auction
699,365,25,IAAI auction
799,385,25,IAAI auction
799,385,5,Copart auction
899,400,10,Copart auction
899,400,25,IAAI auction
999,415,50,IAAI auction
999,415,10,Copart auction
1000,225,55,Manheim auction
1199,430,35,Copart auction
1199,430,55,IAAI auction
1299,425,75,IAAI auction
1299,425,55,Copart auction
1399,475,25,Copart auction
1399,475,40,IAAI auction
1499,480,60,IAAI auction
1499,480,35,Copart auction
1599,490,50,Copart auction
1599,490,65,IAAI auction
1699,505,70,IAAI auction
1699,505,50,Copart auction
1799,515,60,Copart auction
1799,515,80,IAAI auction
1999,525,90,IAAI auction
1999,525,70,Copart auction
2399,555,60,Copart auction
2399,555,95,IAAI auction
2499,580,105,IAAI auction
2499,580,70,Copart auction
2999,600,85,Copart auction
2999,600,130,IAAI auction
3000,280,60,Manheim auction
3499,650,130,IAAI auction
3499,650,80,Copart auction
3999,700,80,Copart auction
3999,700,140,IAAI auction
4499,800,65,IAAI auction
4499,800,40,Copart auction
4999,825,40,Copart auction
4999,825,90,IAAI auction
5000,340,50,Manheim auction
5999,850,125,IAAI auction
5999,850,65,Copart auction
6499,875,100,Copart auction
6499,875,120,IAAI auction
6999,875,155,IAAI auction
6999,875,120,Copart auction
7000,390,35,Manheim auction
7499,900,130,Copart auction
7499,900,150,IAAI auction
7999,900,190,IAAI auction
7999,900,150,Copart auction
8499,925,165,Copart auction
8499,925,185,IAAI auction
8999,925,185,IAAI auction
8999,925,185,Copart auction
9000,425,35,Manheim auction
9999,925,185,Copart auction
9999,925,185,IAAI auction
10499,950,190,IAAI auction
10499,950,190,Copart auction
10999,950,190,Copart auction
10999,950,190,IAAI auction
11000,465,30,Manheim auction
11499,950,200,IAAI auction
11499,950,190,Copart auction
11999,960,190,Copart auction
11999,960,195,IAAI auction
12499,975,205,IAAI auction
12499,975,190,Copart auction
13000,495,30,Manheim auction
14999,990,190,Copart auction
14999,990,190,IAAI auction
15000,525,30,Manheim auction
17000,555,30,Manheim auction
19000,585,25,Manheim auction
21000,610,20,Manheim auction
23000,630,25,Manheim auction
25000,655,30,Manheim auction
27000,685,25,Manheim auction
30000,710,25,Manheim auction
32500,735,25,Manheim auction
35000,760,25,Manheim auction
37500,785,25,Manheim auction
40000,810,25,Manheim auction
45000,835,50,Manheim auction
50000,885,50,Manheim auction
60000,935,100,Manheim auction
70000,1035,100,Manheim auction
80000,1135,100,Manheim auction
90000,1235,100,Manheim auction
100000,1335,100,Manheim auction
110000,1435,120,Manheim auction
999999999,1555,,Manheim auction
